nohup: ignoring input
mkdir: cannot create directory ‘./models//bts_nyu_v2_pytorch_FAM_without_skip’: File exists
You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4501.829, avg: -19.832
[epoch][s/s_per_e/gs]: [0][61/3029/61], lr: 0.000099967375, loss: 3.063738584518
[epoch][s/s_per_e/gs]: [0][62/3029/62], lr: 0.000099966840, loss: 3.238947153091
[epoch][s/s_per_e/gs]: [0][63/3029/63], lr: 0.000099966305, loss: 3.008616447449
[epoch][s/s_per_e/gs]: [0][64/3029/64], lr: 0.000099965770, loss: 2.844538211823
[epoch][s/s_per_e/gs]: [0][65/3029/65], lr: 0.000099965235, loss: 2.608992576599
[epoch][s/s_per_e/gs]: [0][66/3029/66], lr: 0.000099964700, loss: 2.898895740509
[epoch][s/s_per_e/gs]: [0][67/3029/67], lr: 0.000099964166, loss: 2.832944631577
[epoch][s/s_per_e/gs]: [0][68/3029/68], lr: 0.000099963631, loss: 2.912337303162
[epoch][s/s_per_e/gs]: [0][69/3029/69], lr: 0.000099963096, loss: 2.818503141403
[epoch][s/s_per_e/gs]: [0][70/3029/70], lr: 0.000099962561, loss: 3.203624486923
[epoch][s/s_per_e/gs]: [0][71/3029/71], lr: 0.000099962026, loss: 2.932137489319
[epoch][s/s_per_e/gs]: [0][72/3029/72], lr: 0.000099961491, loss: 3.414850473404
[epoch][s/s_per_e/gs]: [0][73/3029/73], lr: 0.000099960956, loss: 3.316134214401
[epoch][s/s_per_e/gs]: [0][74/3029/74], lr: 0.000099960422, loss: 2.591674566269
[epoch][s/s_per_e/gs]: [0][75/3029/75], lr: 0.000099959887, loss: 3.361435890198
[epoch][s/s_per_e/gs]: [0][76/3029/76], lr: 0.000099959352, loss: 2.944703578949
[epoch][s/s_per_e/gs]: [0][77/3029/77], lr: 0.000099958817, loss: 2.584309101105
[epoch][s/s_per_e/gs]: [0][78/3029/78], lr: 0.000099958282, loss: 2.865282535553
[epoch][s/s_per_e/gs]: [0][79/3029/79], lr: 0.000099957747, loss: 3.385743618011
[epoch][s/s_per_e/gs]: [0][80/3029/80], lr: 0.000099957212, loss: 2.427540540695
[epoch][s/s_per_e/gs]: [0][81/3029/81], lr: 0.000099956678, loss: 2.666899204254
[epoch][s/s_per_e/gs]: [0][82/3029/82], lr: 0.000099956143, loss: 1.945739746094
[epoch][s/s_per_e/gs]: [0][83/3029/83], lr: 0.000099955608, loss: 2.257855415344
[epoch][s/s_per_e/gs]: [0][84/3029/84], lr: 0.000099955073, loss: 2.583340406418
[epoch][s/s_per_e/gs]: [0][85/3029/85], lr: 0.000099954538, loss: 3.267237901688
[epoch][s/s_per_e/gs]: [0][86/3029/86], lr: 0.000099954003, loss: 3.171073436737
[epoch][s/s_per_e/gs]: [0][87/3029/87], lr: 0.000099953468, loss: 3.379678487778
[epoch][s/s_per_e/gs]: [0][88/3029/88], lr: 0.000099952934, loss: 2.833610773087
[epoch][s/s_per_e/gs]: [0][89/3029/89], lr: 0.000099952399, loss: 2.569166660309
[epoch][s/s_per_e/gs]: [0][90/3029/90], lr: 0.000099951864, loss: 2.181257009506
[epoch][s/s_per_e/gs]: [0][91/3029/91], lr: 0.000099951329, loss: 2.458162069321
[epoch][s/s_per_e/gs]: [0][92/3029/92], lr: 0.000099950794, loss: 3.190802574158
[epoch][s/s_per_e/gs]: [0][93/3029/93], lr: 0.000099950259, loss: 2.939856290817
[epoch][s/s_per_e/gs]: [0][94/3029/94], lr: 0.000099949724, loss: 2.853397369385
[epoch][s/s_per_e/gs]: [0][95/3029/95], lr: 0.000099949190, loss: 2.723247528076
[epoch][s/s_per_e/gs]: [0][96/3029/96], lr: 0.000099948655, loss: 2.307710170746
[epoch][s/s_per_e/gs]: [0][97/3029/97], lr: 0.000099948120, loss: 2.766859054565
[epoch][s/s_per_e/gs]: [0][98/3029/98], lr: 0.000099947585, loss: 2.925543308258
[epoch][s/s_per_e/gs]: [0][99/3029/99], lr: 0.000099947050, loss: 3.294068574905
[epoch][s/s_per_e/gs]: [0][100/3029/100], lr: 0.000099946515, loss: 2.807843446732
bts_nyu_v2_pytorch_FAM_without_skip
GPU: 0 | examples/s: 7.37 | loss: 2.80784 | var sum: -4576.103 avg: -20.159 | time elapsed: 0.03h | time left: 47.32h
[epoch][s/s_per_e/gs]: [0][101/3029/101], lr: 0.000099945980, loss: 3.393478393555
[epoch][s/s_per_e/gs]: [0][102/3029/102], lr: 0.000099945446, loss: 2.678602695465
[epoch][s/s_per_e/gs]: [0][103/3029/103], lr: 0.000099944911, loss: 2.586430311203
[epoch][s/s_per_e/gs]: [0][104/3029/104], lr: 0.000099944376, loss: 2.420703887939
[epoch][s/s_per_e/gs]: [0][105/3029/105], lr: 0.000099943841, loss: 2.601738214493
[epoch][s/s_per_e/gs]: [0][106/3029/106], lr: 0.000099943306, loss: 2.513104915619
[epoch][s/s_per_e/gs]: [0][107/3029/107], lr: 0.000099942771, loss: 2.266775131226
[epoch][s/s_per_e/gs]: [0][108/3029/108], lr: 0.000099942236, loss: 2.402673244476
[epoch][s/s_per_e/gs]: [0][109/3029/109], lr: 0.000099941701, loss: 2.292035579681
[epoch][s/s_per_e/gs]: [0][110/3029/110], lr: 0.000099941167, loss: 2.216148614883
[epoch][s/s_per_e/gs]: [0][111/3029/111], lr: 0.000099940632, loss: 2.634095191956
[epoch][s/s_per_e/gs]: [0][112/3029/112], lr: 0.000099940097, loss: 2.271803379059
[epoch][s/s_per_e/gs]: [0][113/3029/113], lr: 0.000099939562, loss: 3.200948238373
[epoch][s/s_per_e/gs]: [0][114/3029/114], lr: 0.000099939027, loss: 2.942285299301
[epoch][s/s_per_e/gs]: [0][115/3029/115], lr: 0.000099938492, loss: 2.598012447357
[epoch][s/s_per_e/gs]: [0][116/3029/116], lr: 0.000099937957, loss: 2.835519552231
[epoch][s/s_per_e/gs]: [0][117/3029/117], lr: 0.000099937422, loss: 2.834052562714
[epoch][s/s_per_e/gs]: [0][118/3029/118], lr: 0.000099936888, loss: 2.450338125229
[epoch][s/s_per_e/gs]: [0][119/3029/119], lr: 0.000099936353, loss: 2.277065038681
[epoch][s/s_per_e/gs]: [0][120/3029/120], lr: 0.000099935818, loss: 2.227321147919
[epoch][s/s_per_e/gs]: [0][121/3029/121], lr: 0.000099935283, loss: 2.071240425110
[epoch][s/s_per_e/gs]: [0][122/3029/122], lr: 0.000099934748, loss: 1.835560679436
[epoch][s/s_per_e/gs]: [0][123/3029/123], lr: 0.000099934213, loss: 2.426279544830
[epoch][s/s_per_e/gs]: [0][124/3029/124], lr: 0.000099933678, loss: 2.520835399628
[epoch][s/s_per_e/gs]: [0][125/3029/125], lr: 0.000099933143, loss: 2.471602439880
[epoch][s/s_per_e/gs]: [0][126/3029/126], lr: 0.000099932609, loss: 2.469707012177
[epoch][s/s_per_e/gs]: [0][127/3029/127], lr: 0.000099932074, loss: 3.505057811737
[epoch][s/s_per_e/gs]: [0][128/3029/128], lr: 0.000099931539, loss: 3.048228979111
[epoch][s/s_per_e/gs]: [0][129/3029/129], lr: 0.000099931004, loss: 2.362746953964
[epoch][s/s_per_e/gs]: [0][130/3029/130], lr: 0.000099930469, loss: 2.115537166595
[epoch][s/s_per_e/gs]: [0][131/3029/131], lr: 0.000099929934, loss: 2.367434263229
[epoch][s/s_per_e/gs]: [0][132/3029/132], lr: 0.000099929399, loss: 3.297817468643
[epoch][s/s_per_e/gs]: [0][133/3029/133], lr: 0.000099928864, loss: 2.426771640778
[epoch][s/s_per_e/gs]: [0][134/3029/134], lr: 0.000099928330, loss: 2.869889974594
[epoch][s/s_per_e/gs]: [0][135/3029/135], lr: 0.000099927795, loss: 2.579040765762
[epoch][s/s_per_e/gs]: [0][136/3029/136], lr: 0.000099927260, loss: 1.866897225380
[epoch][s/s_per_e/gs]: [0][137/3029/137], lr: 0.000099926725, loss: 3.236763477325
[epoch][s/s_per_e/gs]: [0][138/3029/138], lr: 0.000099926190, loss: 2.157620429993
[epoch][s/s_per_e/gs]: [0][139/3029/139], lr: 0.000099925655, loss: 2.900960445404
[epoch][s/s_per_e/gs]: [0][140/3029/140], lr: 0.000099925120, loss: 1.950411200523
[epoch][s/s_per_e/gs]: [0][141/3029/141], lr: 0.000099924585, loss: 2.519135713577
[epoch][s/s_per_e/gs]: [0][142/3029/142], lr: 0.000099924051, loss: 3.169913291931
[epoch][s/s_per_e/gs]: [0][143/3029/143], lr: 0.000099923516, loss: 2.836926460266
[epoch][s/s_per_e/gs]: [0][144/3029/144], lr: 0.000099922981, loss: 3.461988925934
[epoch][s/s_per_e/gs]: [0][145/3029/145], lr: 0.000099922446, loss: 2.540540695190
[epoch][s/s_per_e/gs]: [0][146/3029/146], lr: 0.000099921911, loss: 2.602245330811
[epoch][s/s_per_e/gs]: [0][147/3029/147], lr: 0.000099921376, loss: 3.439190864563
[epoch][s/s_per_e/gs]: [0][148/3029/148], lr: 0.000099920841, loss: 3.096892356873
[epoch][s/s_per_e/gs]: [0][149/3029/149], lr: 0.000099920306, loss: 2.177165985107
[epoch][s/s_per_e/gs]: [0][150/3029/150], lr: 0.000099919772, loss: 2.500153541565
[epoch][s/s_per_e/gs]: [0][151/3029/151], lr: 0.000099919237, loss: 2.316458463669
[epoch][s/s_per_e/gs]: [0][152/3029/152], lr: 0.000099918702, loss: 2.692106962204
[epoch][s/s_per_e/gs]: [0][153/3029/153], lr: 0.000099918167, loss: 1.955851554871
[epoch][s/s_per_e/gs]: [0][154/3029/154], lr: 0.000099917632, loss: 2.380347728729
[epoch][s/s_per_e/gs]: [0][155/3029/155], lr: 0.000099917097, loss: 3.032362937927
[epoch][s/s_per_e/gs]: [0][156/3029/156], lr: 0.000099916562, loss: 2.115812778473
[epoch][s/s_per_e/gs]: [0][157/3029/157], lr: 0.000099916027, loss: 2.332459688187
[epoch][s/s_per_e/gs]: [0][158/3029/158], lr: 0.000099915492, loss: 2.230305671692
